,Unnamed: 0,ev_city,ev_country,ev_state,latitude,longitude
0,46,NIGHTMUTE      ,USA,AK,60.4794444,-164.7238889
1,50,UTICA          ,USA,NY,43.100903,-75.232664
2,56,Toronto,CA,,43.653226,-79.3831843
3,92,Sydney,AS,,-33.9720475,151.1443249
4,116,GRAND JUNCTION ,USA,CO,39.0638705,-108.5506486
5,120,JUNEAU         ,USA,AK,58.3019444,-134.4197222
6,129,YUBA CITY      ,USA,CA,39.1404477,-121.6169108
7,149,Sidney,USA,MT,47.7166836,-104.1563253
8,153,Lake in the Woods,CA,ON,49.6476751,-94.55534229999999
9,163,KEMMERER       ,USA,WY,41.792447,-110.5376692
10,187,Anaco,VE,,9.429229699999999,-64.4674203
11,257,UMIAT          ,USA,AK,69.367233,-152.143295
12,296,LA FORTUNA ,PA,,8.7441806,-82.2498416
13,298,Bologna,IT,,44.494887,11.3426163
14,325,Madinah,SA,,24.5246542,39.5691841
15,402,ATLANTA        ,USA,GA,33.7489954,-84.3879824
16,435,HINCHINBROOK   ,USA,AK,60.4159619,-146.584975
17,442,SOUTH BEND     ,USA,IN,41.6763545,-86.25198979999999
18,472,Arnos Vale,VC,,13.1437775,-61.2087871
19,485,Portreath,UK,,50.260642,-5.288665
20,489,AMERICAN RIVER ,USA,AK,57.6392339,-152.5190027
21,498,Raleigh,USA,NC,35.7795897,-78.6381787
22,499,BENSON         ,USA,AZ,31.9678611,-110.2945174
23,524,VIEKODA BAY    ,USA,AK,57.9247222,-153.2580556
24,530,JAGO RIVER     ,USA,AK,69.0836838,-143.5736342
25,540,TANZANIA       ,SU,,,
26,552,MIAMI          ,USA,FL,25.7616798,-80.1917902
27,564,Guatemala City,GT,,14.6349149,-90.5068824
28,658,VALLE          ,USA,AZ,35.657139,-112.203712
29,686,ORMOND BEACH   ,USA,FL,29.2858129,-81.0558894
30,710,"Steep, Hampshire, UK",UK,,51.0227315,-0.9421156
31,760,MANLEY HOT SPRG,USA,AK,65.0308333,-150.74
32,769,EAGLE          ,USA,AK,64.78805559999999,-141.2
33,800,Elkins Creek BC,CA,,51.512778,-123.804444
34,830,Makarakskiy,RS,,,
35,844,SHANNON,EI,,52.7181264,-8.8745256
36,899,MILWAUKEE      ,USA,WI,43.0389025,-87.9064736
37,911,Egelsbach,GE,,,
38,921,Bangkok,TH,,13.7563309,100.5017651
39,963,CLEVELAND      ,USA,OH,41.49932,-81.6943605
40,965,HAMILTON       ,CA,,43.25002080000001,-79.8660914
41,995,COMORSO ISLANDS,ET,,30.0225,31.2261111
42,1000,Shanghai,CH,,34.0848366,115.3243971
43,1024,Denham,UK,,51.56958299999999,-0.493857
44,1071,New York City,USA,NY,40.7127837,-74.0059413
45,1084,WAINWRIGHT     ,USA,AK,70.63694439999999,-160.0383333
46,1101,PALM SPRINGS   ,USA,CA,33.8302961,-116.5452921
47,1112,ALIQUIPPA      ,USA,PA,40.615537,-80.26218519999999
48,1129,ADWA  ,ET,,14.1636465,38.8937176
49,1141,JUNEAU         ,USA,AK,58.3019444,-134.4197222
50,1172,GERONA SPAIN   ,SP,,41.9794005,2.8214264
51,1176,HOLLAND        ,NL,,-30.2317563,29.7498426
52,1190,TALKEETNA      ,USA,AK,62.32090460000001,-150.1066221
53,1211,DIJON,FR,,47.322047,5.04148
54,1232,CHINLE         ,USA,AZ,36.1544483,-109.5526072
55,1237,PORT LIONS     ,USA,AK,57.8675,-152.8822222
56,1274,St. George,USA,UT,37.0965278,-113.5684164
57,1296,W CAMERON BLK  ,,GM,10.7215428,-61.52428250000001
58,1304,JUNEAU         ,USA,AK,58.3019444,-134.4197222
59,1323,PHILADELPHIA   ,USA,PA,39.9525839,-75.1652215
60,1350,Kiim,EC,,-3.7844325,-78.90442379999999
61,1359,ATMAUTLUAK     ,USA,AK,60.8669444,-162.2730556
62,1403,UNALAKLEET     ,USA,AK,63.87305559999999,-160.7880556
63,1421,NEAR PORT ALSWO,USA,AK,60.20249999999999,-154.3127778
64,1424,PEDRO BAY      ,USA,AK,59.7872222,-154.1061111
65,1425,Kirksville,USA,MO,40.19475389999999,-92.5832496
66,1436,East Midlands,UK,,52.821632,-1.147234
67,1466,DENVER         ,USA,CO,39.7392358,-104.990251
68,1468,VIENNA,AU,,48.23147609999999,16.3569798
69,1479,CONGO TOWN     ,CF,,5.127894,21.24472
70,1480,KETCHIKAN      ,USA,AK,55.34222219999999,-131.6461111
71,1530,Nuevo Michoacan,MX,,19.6960536,-102.5247836
72,1609,Mexico City,MX,,19.4326077,-99.133208
73,1619,TAMPICO        ,MX,,22.2331041,-97.861099
74,1638,Paris,FR,,48.856614,2.3522219
75,1657,VALENSOL,FR,,43.837064,5.983242
76,1670,SPOKANE        ,USA,WA,47.6587802,-117.4260466
77,1676,FAIRBANKS      ,USA,AK,64.8377778,-147.7163889
78,1707,Paderborn-Lipsd,GE,,51.7189205,8.757509299999999
79,1782,UGANIK BAY     ,USA,AK,57.80500000000001,-153.5127778
80,1823,GUADALAJARA    ,MX,,20.6596988,-103.3496092
81,1845,ATMAUTLUAK     ,USA,AK,60.8669444,-162.2730556
82,1851,Sazava,EZ,,,
83,1872,LOS ANGELES    ,USA,CA,34.0522342,-118.2436849
84,1895,SEATTLE        ,USA,WA,47.6062095,-122.3320708
85,1912,TEMPLE BAR     ,USA,AZ,36.0228066,-114.3335291
86,1951,RALEIGH        ,USA,NC,35.7795897,-78.6381787
87,1952,Quito,EC,,-0.1806532,-78.4678382
88,1957,EAGLE LAKE     ,USA,TX,29.5896836,-96.3335769
89,1979,DALLAS         ,USA,TX,32.7766642,-96.79698789999999
90,1994,YAKUTAT        ,USA,AK,59.54694439999999,-139.7272222
91,2054,SALINAS        ,USA,CA,36.6777372,-121.6555013
92,2062,Portland,USA,OR,45.5230622,-122.6764816
93,2073,ORLA           ,USA,TX,31.8247936,-103.9085393
94,2121,"Horten, Norway",NO,,59.417084,10.4832128
95,2130,MT. ZION       ,USA,IL,39.7714252,-88.8742405
