,ev_city,ev_country,ev_state,latitude,longitude
35161,Miami,USA,FL,,
35187,CEDAR RAPIDS   ,USA,IA,,
35202,BURBANK        ,USA,CA,,
35212,BEDFORD PARK   ,USA,IL,,
35238,GARDNER        ,USA,KS,,
35240,FORT MYERS     ,USA,FL,,
35244,BETHEL         ,USA,AK,,
35250,"Naha, Okinawa",JA,,,
35272,Godensee,AU,,,
35275,MANILA         ,RP,,,
35283,CHARLESTON     ,USA,SC,,
35309,Candido Mota,BR,,,
35310,QUITO          ,EC,,,
35365,BUGA,CO,,,
35390,SAINT MARYS    ,USA,AK,,
35391,MONTEREY       ,USA,CA,,
35408,DAVENPORT      ,USA,IA,,
35481,JAMAICA        ,USA,NY,,
35487,Ciudad Victoria,MX,,,
35517,JACKSONVILLE   ,USA,FL,,
35527,BIRMINGHAM     ,USA,AL,,
35538,QUINCY         ,USA,CA,,
35544,El Marques,MX,,,
35554,Ciudad Real,SP,,,
35567,BULLHEAD CITY  ,USA,AZ,,
35577,HONOLULU       ,USA,HI,,
35579,GRUNWALD       ,AU,,,
35595,MOUNT ILIAMNA  ,USA,AK,,
35619,Sosua,DR,,,
35632,DESTIN         ,USA,FL,,
35662,NORTH KANSAS CI,USA,MO,,
35686,Mt. Salak,ID,,,
35695,DILLINGHAM     ,USA,AK,,
35730,MICHIGAN CITY  ,USA,IN,,
35733,Louisville,USA,KY,,
35734,BOISE          ,USA,ID,,
35738,San Felipe,MX,,,
35741,NORTH BEND     ,USA,OR,,
35758,YOPAL,CO,,,
35764,VOLCANO        ,USA,HI,,
35771,PEORIA         ,USA,IL,,
35803,NAPASKIAK      ,USA,AK,,
35882,Antalya,TU,,,
35898,Kansai,JA,,,
35900,LAKE PURUVESI  ,FI,,,
35920,HONOLULU       ,USA,HI,,
35927,"Kenora/Trout Lake, Ontario",CA,,,
35939,PANAMA CITY    ,PM,,,
35951,VIEQUES        ,,PR,,
35978,KOTZEBUE       ,USA,AK,,
35988,CARLOS TEJEDOR ,AR,,,
36026,JAMESTOWN      ,USA,TN,,
36027,NIAMEY,NG,,,
36032,MORTON         ,USA,WY,,
36037,TRINIDAD       ,BL,,,
36055,KING SALMON    ,USA,AK,,
36056,QUINCY         ,USA,IL,,
36089,SAN ANTONIO    ,USA,TX,,
36090,Merseburg,GE,,,
36091,SAN FRANCISCO  ,USA,CA,,
36106,ST. LOUIS      ,USA,MO,,
36121,SAN MIGUEL IS  ,USA,CA,,
36123,SEVILLE,SP,,,
36135,CULLMAN        ,USA,AL,,
